CNPJ,cliente,UF,cidade,bairro
07394215000183,GILVERLAN BARBOSA SOUTO EPP,BA,NOVA VICOSA,VICOSA
23673682000107,ALINE FAVERO DO NASCIMENTO,BA,PRADO,SAO BRAS
09190998000109,SUPERMERCADO PAGANINI LTDA,ES,ANCHIETA,OLIVEIRA
35994433000275,MERCADO HORTICAXIXE LTDA EPP,ES,ARACRUZ,BARRA DO RIACHO
08357136000165,SUPERMERCADO VALLIN LTDA,ES,ARACRUZ,BARRA DO SAHY
39792205000192,SUPERMERCADO KINKAS LTDA,ES,ARACRUZ,CENTRO
31759699000363,COMERCIAL DEVENS LTDA.,ES,ARACRUZ,CENTRO
31759699000444,COMERCIAL DEVENS LTDA,ES,ARACRUZ,COQUEIRAL
09379562000162,COMERCIAL KINAO LTDA - EPP.,ES,ARACRUZ,GUARANA
09622180000118,KINKAS COMERCIO VAREJISTA LTDA.,ES,ARACRUZ,VILA NOVA
14476627000128,VP SUPERMERCADO LTDA EPP,ES,BOM JESUS DO NORTE,CENTRO
19190781000152,AUTO SERVICO BORGES CAPIXABA LTDA,ES,BOM JESUS DO NORTE,SAO SEBASTIAO
10293889000104,SUPERMERCADO MOLINAROLI LTDA - ME,ES,CACHOEIRO DE ITAPEMIRIM,BASILEIA
02328363000186,SCARPE CEREAIS LTDA,ES,CACHOEIRO DE ITAPEMIRIM,MONTE CRISTO
39379011000160,SUPERMERCADO RAQUEL LTDA - ME,ES,CACHOEIRO DE ITAPEMIRIM,RUI PINTO BANDEIRA
04048163000103,CAMPOS CEREAIS LTDA,ES,CACHOEIRO DE ITAPEMIRIM,SANTA HELENA
39790191000259,AUTO SERVICO COSTA PEREIRA LTDA,ES,CARIACICA,CAMPO GRANDE
26941332000164,SUPERMERCADOS CAMPO GRANDE EIRELI,ES,CARIACICA,CAMPO GRANDE
01848448000122,C R COSTA - ME,ES,CARIACICA,ITANGUA
27547678000145,IPAMAR COMERCIAL LTDA,ES,CARIACICA,NOVA BRASILIA
36332252000165,AUTO SERVICO INTERNACIONAL LTDA.,ES,CARIACICA,PORTO DE SANTANA
03807466000191,AUTO SERVICO NACIONAL LTDA.,ES,CARIACICA,SANTANA
12892415000287,FRISA COMERCIAL S/A.,ES,COLATINA,CENTRO
30575476000111,SUPERMERCADO PRECO CERTO.,ES,COLATINA,CENTRO
27285030000148,MARIA JOSE MAIN LUCAS.,ES,COLATINA,CENTRO
27285030000229,MARIA JOSE MAIN LUCAS,ES,COLATINA,CENTRO
02549492000102,FERRARI COMERCIO DE ALIMENTOS LTDA - ME.,ES,COLATINA,COLUMBIA
05898316000166,COMERCIAL NIVEM LTDA ME.,ES,COLATINA,HONORARIO
09912142000108,LUCIO LAURINDO AGRIZZI - EPP,ES,COLATINA,MARIA DAS GRACAS
03489753000109,SALVADOR ANTONIO GUAITOLINI.,ES,COLATINA,MARIA DAS GRACAS
39621479000208,DOIS AMIGOS ATACADO E VAREJO LTDA.,ES,COLATINA,SAO SILVANO
28534402000357,COMECIAL CEREAIS PRETTI LTDA.,ES,COLATINA,SAO SILVANO
35995646000130,SUPERMERCADO DOIS IRMAOS LTDA,ES,COLATINA,VILA NOVA
31466253000189,AUTO SERVICO IDEAL LTDA.,ES,FUNDAO,CENTRO
07233035000110,MARIA JOSIMARA BROETTO NUNES - EPP.,ES,FUNDAO,CENTRO
31759699000606,COMERCIAL DEVENS LTDA.,ES,IBIRACU,CENTRO
14962390000195,HIPERMARKET LTDA - ME.,ES,IBIRACU,CENTRO
02275470000193,SUPERMERCADO ICONHA EIRELI,ES,ICONHA,CENTRO
27571983000172,SUPERMERCADOS GOBBO LTDA,ES,ITAGUACU,CENTRO
12078803000148,SUPERMERCADO UNIAO LTDA.,ES,ITAGUACU,CENTRO
07138469000130,OLIVEIRA E SILVA SUPERMERCADO LTDA - ME,ES,ITAPEMIRIM,CAMPO ACIMA
01704374000150,D. S. COUTINHO EIRELI - ME,ES,ITAPEMIRIM,CENTRO
09435241000138,L.C. LEAL MERCEARIA - ME,ES,ITAPEMIRIM,CENTRO.
02910082000137,SUPERMERCADO SANGRID LTDA - ME,ES,ITAPEMIRIM,ITAIPAVA
13508821000185,MARINI & MELLO LTDA - ME,ES,ITAPEMIRIM,ITAIPAVA
27267673000169,SUPERMERCADO JOAO NEIVA LTDA - EPP,ES,JOAO NEIVA,CENTRO
39638580000182,ADRIANO JOVITA BARROS EPP,ES,LINHARES,BEBEDOURO
31465263000108,SUPERMERCADO PAIZANTE LTDA,ES,MANTENOPOLIS,CENTRO
11299726000193,SUPERMERCADO SANTA FE LTDA-ME.,ES,MANTENOPOLIS,CENTRO
08455561000197,P E S RANGEL HORTIFRUTI - ME,ES,MARATAIZES,BARRA DE ITAPEMIRIM
17024368000192,VILMA DE FATIMA REZENDE SOBREIRA - ME,ES,MARATAIZES,BARRA DO ITAPEMIRIM
11472138000100,SUPERMERCADO DOM BOSCO LTDA ME,ES,MARILANDIA,CENTRO
01872160000193,SUPERMERCADO CASALI LTDA EPP.,ES,MARILANDIA,CENTRO
39818919000122,BETTIN E BOA LTDA EPP.,ES,NOVA VENECIA,CENTRO
10607920000126,SUPERMERCADO ECONOMIA LTDA.,ES,NOVA VENECIA,FILOMENA
00381613000116,JOAQUIM GRECHI ME.,ES,NOVA VENECIA,RUBIA
39267802000106,JOAO PAGUNG ACOUGUE .,ES,PANCAS,CENTRO
24283816000138,MERCEARIA M. D. DA SILVA LTDA - ME,ES,PIUMA,CENTRO
05813544000196,FIALHO E CYPRIANO SUPERMERCADO LTDA - ME,ES,PIUMA,ITAPUTANGA
24639414000123,LUCAS CIPRESTE DE VARGAS - ME,ES,PIUMA,JARDIM MAILY
39345244000141,G P SUPERMERCADO LTDA - ME,ES,PIUMA,NITEROI
31469067000101,ELIO GARCIA MARVILLA FILHO - ME,ES,PIUMA,UNIAO
01442299000105,COMERCIAL DEJE LTDA - EPP.,ES,SANTA TERESA,CENTRO
